"RECORDID"	"ONEPERID"	"ONEPERFLAG"	"ORGFLAG"	"GROUPFLAG"	"EBDFFLAG"	"MASTERRECORDID"
"9190013456"	"9190013456"	"1"	""	""	"1"	"N0000PGYLW"
"9190013479"	"9190013479"	"1"	""	""	""	"MC16202729"
"9190013486"	"9190013486"	"1"	""	""	""	"MC16189036"
"9190013504"	"9190013504"	"1"	""	""	""	"MC16194867"
"9190013518"	"9190013518"	"1"	""	""	"1"	"MC16202603"
"9190013521"	"9190013521"	"1"	""	""	"1"	"MC16206464"
"9190013542"	"9190013542"	"1"	""	""	"1"	"MC16195347"
"9190013543"	"9190013543"	"1"	""	""	"1"	"MC16199296"
"9190013566"	"9190013566"	"1"	""	""	""	"MC16200778"
"9190013596"	"9190013596"	"1"	""	""	""	"MC16191476"
"9190013597"	"9190013597"	"1"	""	""	"1"	"MC16205732"
"9190013610"	"9190013610"	"1"	""	""	"1"	"MC16206461"
"9190013643"	"9190013643"	"1"	""	""	""	"MC16194005"
"9190013644"	"9190013644"	"1"	""	""	"1"	"MC16206285"
"9190013648"	"9190013648"	"1"	""	""	"1"	"MC16196350"
"9190013657"	"9190013657"	"1"	""	""	"1"	"MC16200229"
"9190013668"	"9190013668"	"1"	""	""	"1"	"MF12616834"
"9190013682"	"9190013682"	"1"	""	""	"1"	"MC16196357"
"9190013693"	"9190013693"	"1"	""	""	"1"	"MC16187640"
"9190013718"	"9190013718"	"1"	""	""	"1"	"MC16193474"
"9190013756"	"9190013756"	"1"	""	""	"1"	"MC16200444"
"9190013764"	"9190013764"	"1"	""	""	"1"	"MC16199630"
"9190013801"	"9190013801"	"1"	""	""	"1"	"MC16202248"
"9190013831"	"9190013831"	"1"	""	""	""	"MC16202593"
"9190013838"	"9190013838"	"1"	""	""	"1"	"MC16205706"
"9190013846"	"9190013846"	"1"	""	""	"1"	"MC16201873"
"9190013855"	"9190013855"	"1"	""	""	"1"	"MC16205669"
"9190013860"	"9190013860"	"1"	""	""	"1"	"MC16195775"
"9190013862"	"9190013862"	"1"	""	""	"1"	"MC16206521"
"9190013864"	"9190013864"	"1"	""	""	"1"	"MC16191299"
"9190013879"	"9190013879"	"1"	""	""	"1"	"MC16204706"
